Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2022-06-02,1825.19,1840.38,1814.5,1833.76,15316085
2022-06-03,1845.65,1851.34,1812.39,1819.99,16457391
2022-06-06,1827.04,1851.22,1821.82,1849.55,10559942
2022-06-07,1838.63,1838.63,1816.4,1828.57,16203461
2022-06-08,1827.61,1830.66,1783.21,1792.8,19168996
2022-06-09,1793.03,1800.65,1762.92,1767.5,18438256
2022-06-10,1761.24,1761.24,1720.39,1725.18,18556186
2022-06-13,1704.52,1707.25,1674.39,1681.75,21751199
2022-06-14,1692.92,1706.5,1680.68,1704.07,22796304
2022-06-15,1707.38,1711.95,1672.46,1707.11,28385312
2022-06-17,1682.3,1706.17,1665.88,1676.67,47692825
2022-06-20,1684.09,1695.98,1678.23,1679.89,13563869
2022-06-21,1689.11,1719.05,1689.11,1719.05,16023928
2022-06-22,1700.92,1700.92,1667.82,1680.61,18238772
2022-06-23,1678.01,1690.32,1653.8,1654.32,16724714
2022-06-24,1659.92,1686.33,1654.61,1682.33,14819696
2022-06-27,1691.89,1715.62,1690.74,1713.18,17796280
2022-06-28,1722.58,1744.91,1722.58,1739.08,22323228
2022-06-29,1726.38,1738.6,1711.84,1733.19,20209877
2022-06-30,1720.32,1720.32,1689.04,1695.97,24266005
2022-07-01,1690.71,1717.96,1686.98,1688.85,17932916
2022-07-04,1695.14,1702.4,1665.59,1693.1,19283457
2022-07-05,1701.53,1706.1,1634.5,1644.46,21416391
2022-07-06,1649.5,1668.17,1629.79,1654.84,27222558
2022-07-07,1664.01,1716.56,1664.01,1708.8,21441575
2022-07-08,1707.55,1742.95,1698.13,1740.46,21824188
2022-07-11,1713.21,1725.66,1700.85,1714.56,26755623
2022-07-12,1707.7,1707.7,1663.05,1663.46,28021214
2022-07-13,1663.76,1678.86,1643.36,1655.65,21088822
2022-07-14,1655.76,1660.85,1601.32,1613.98,22608398
2022-07-15,1618.23,1634.31,1607.84,1620.13,14349380
2022-07-18,1632.83,1670.33,1632.83,1669.48,17498758
2022-07-19,1664.93,1681.28,1648.39,1679.27,15725532
2022-07-20,1688.47,1701.91,1678.74,1694.58,18264806
2022-07-21,1697.09,1702.4,1665.34,1683.09,17537259
2022-07-22,1677.44,1710.51,1677.44,1701.73,19751028
2022-07-25,1699.55,1708.72,1682.95,1685.62,14534025
2022-07-26,1677.62,1683.51,1646.3,1654.7,18824081
2022-07-27,1658.09,1670.03,1632.23,1651.89,24170124
2022-07-28,1661.43,1679.66,1652.86,1667.17,43984566
2022-07-29,1674.05,1721.11,1674.05,1721.11,35264023
2022-08-01,1723.75,1736.47,1714.65,1736.47,17726600
2022-08-02,1728.07,1728.48,1709.85,1713.61,20929200
2022-08-03,1702.13,1702.32,1679.92,1688.03,26680773
2022-08-04,1690.68,1697.16,1666.85,1674.37,27135908
2022-08-05,1685.3,1696.43,1643.02,1652.14,20530983
2022-08-08,1660.93,1695.78,1652.97,1695.78,17107654
2022-08-09,1695.54,1706.57,1682.49,1684.14,18163209
2022-08-10,1683.41,1702.17,1661.42,1694.11,19876119
2022-08-11,1705.23,1724.98,1690.24,1724.98,15942914
2022-08-12,1721.18,1737.25,1716.38,1735.07,16552361
2022-08-16,1739.62,1763.25,1730.05,1735,19652899
2022-08-17,1736.13,1736.8,1679.71,1682.93,19931686
2022-08-18,1683.89,1703.78,1672.48,1699.68,17686963
2022-08-19,1685.24,1698.82,1668.62,1673.4,22244791
2022-08-22,1669.2,1670.29,1630,1640.02,18508931
2022-08-23,1638.03,1667.41,1630.67,1656.77,34803232
2022-08-24,1655.38,1655.38,1616.14,1620.63,21709792
2022-08-25,1633.09,1650.7,1622.55,1632,26235784
2022-08-26,1635.66,1637.07,1596.06,1602.81,22812055
2022-08-29,1585.54,1585.54,1552.6,1573.35,21693935
2022-08-30,1578.24,1583.57,1532.85,1535.11,22574437
2022-08-31,1540.93,1548.25,1513.5,1528.22,49110518
2022-09-01,1522.52,1522.52,1462.59,1462.59,32437774
2022-09-02,1477.24,1506.54,1464.67,1505.75,35756213
2022-09-05,1496.88,1505.05,1482.29,1492.06,17618605
2022-09-06,1495.62,1504.64,1444.84,1452.86,23355729
2022-09-07,1445.54,1471.34,1431.36,1469.42,26613207
2022-09-08,1481.93,1494.98,1460.43,1473.18,23886627
2022-09-09,1487.5,1534.68,1487.5,1534.68,24748386
